,Name,Age,Club,Overall,Potential,Height,Nationality
1,L. Messi,31,FC Barcelona,94,94,1.7018,Argentina
2,Cristiano Ronaldo,33,Juventus,94,94,1.8796,Portugal
3,Neymar Jr,26,Paris Saint-Germain,92,93,1.7526,Brazil
4,De Gea,27,Manchester United,91,93,1.9304,Spain
5,K. De Bruyne,27,Manchester City,91,92,1.8034,Belgium
6,E. Hazard,27,Chelsea,91,91,1.7272,Belgium
7,L. Modrić,32,Real Madrid,91,91,1.7272,Croatia
8,L. Suárez,31,FC Barcelona,91,91,1.8288,Uruguay
9,Sergio Ramos,32,Real Madrid,91,91,1.8288,Spain
10,J. Oblak,25,Atlético Madrid,90,93,1.8796,Slovenia
11,R. Lewandowski,29,FC Bayern München,90,90,1.8288,Poland
12,T. Kroos,28,Real Madrid,90,90,1.8288,Germany
13,D. Godín,32,Atlético Madrid,90,90,1.8796,Uruguay
14,David Silva,32,Manchester City,90,90,1.7272,Spain
15,N. Kanté,27,Chelsea,89,90,1.6764,France
16,P. Dybala,24,Juventus,89,94,1.778,Argentina
17,H. Kane,24,Tottenham Hotspur,89,91,1.8796,England
18,A. Griezmann,27,Atlético Madrid,89,90,1.7526,France
19,M. ter Stegen,26,FC Barcelona,89,92,1.8796,Germany
20,T. Courtois,26,Real Madrid,89,90,1.9812,Belgium
21,Sergio Busquets,29,FC Barcelona,89,89,1.8796,Spain
22,E. Cavani,31,Paris Saint-Germain,89,89,1.8542,Uruguay
23,M. Neuer,32,FC Bayern München,89,89,1.9304,Germany
24,S. Agüero,30,Manchester City,89,89,1.7272,Argentina
25,G. Chiellini,33,Juventus,89,89,1.8796,Italy
26,K. Mbappé,19,Paris Saint-Germain,88,95,1.778,France
27,M. Salah,26,Liverpool,88,89,1.7526,Egypt
28,Casemiro,26,Real Madrid,88,90,1.8542,Brazil
29,J. Rodríguez,26,FC Bayern München,88,89,1.8034,Colombia
30,L. Insigne,27,Napoli,88,88,1.6256,Italy
31,Isco,26,Real Madrid,88,91,1.7526,Spain
32,C. Eriksen,26,Tottenham Hotspur,88,91,1.8034,Denmark
33,Coutinho,26,FC Barcelona,88,89,1.7272,Brazil
34,P. Aubameyang,29,Arsenal,88,88,1.8796,Gabon
35,M. Hummels,29,FC Bayern München,88,88,1.905,Germany
36,Marcelo,30,Real Madrid,88,88,1.7526,Brazil
37,G. Bale,28,Real Madrid,88,88,1.8542,Wales
38,H. Lloris,31,Tottenham Hotspur,88,88,1.8796,France
39,G. Higuaín,30,Milan,88,88,1.8542,Argentina
40,Thiago Silva,33,Paris Saint-Germain,88,88,1.8288,Brazil
41,S. Handanovič,33,Inter,88,88,1.9304,Slovenia
42,G. Buffon,40,Paris Saint-Germain,88,88,1.9304,Italy
43,S. Umtiti,24,FC Barcelona,87,92,1.8288,France
44,M. Icardi,25,Inter,87,90,1.8034,Argentina
45,K. Koulibaly,27,Napoli,87,90,1.8796,Senegal
46,P. Pogba,25,Manchester United,87,91,1.9304,France
47,K. Navas,31,Real Madrid,87,87,1.8542,Costa Rica
48,R. Lukaku,25,Manchester United,87,89,1.905,Belgium
49,C. Immobile,28,Lazio,87,87,1.8542,Italy
50,Jordi Alba,29,FC Barcelona,87,87,1.7018,Spain
51,D. Mertens,31,Napoli,87,87,1.7018,Belgium
52,J. Vertonghen,31,Tottenham Hotspur,87,87,1.8796,Belgium
53,M. Hamšík,30,Napoli,87,87,1.8288,Slovakia
54,I. Rakitić,30,FC Barcelona,87,87,1.8288,Croatia
55,Piqué,31,FC Barcelona,87,87,1.9304,Spain
56,L. Sané,22,Manchester City,86,92,1.8288,Germany
57,Bernardo Silva,23,Manchester City,86,91,1.7272,Portugal
58,Ederson,24,Manchester City,86,90,1.8796,Brazil
59,S. Mané,26,Liverpool,86,87,1.7526,Senegal
60,V. van Dijk,26,Liverpool,86,88,1.9304,Netherlands
61,R. Sterling,23,Manchester City,86,89,1.7018,England
62,Roberto Firmino,26,Liverpool,86,87,1.8034,Brazil
63,R. Varane,25,Real Madrid,86,91,1.905,France
64,M. Verratti,25,Paris Saint-Germain,86,89,1.651,Italy
65,Alex Sandro,27,Juventus,86,86,1.8034,Brazil
66,Douglas Costa,27,Juventus,86,86,1.7272,Brazil
67,T. Müller,28,FC Bayern München,86,86,1.8542,Germany
68,Thiago,27,FC Bayern München,86,86,1.7526,Spain
69,M. Reus,29,Borussia Dortmund,86,86,1.8034,Germany
70,Azpilicueta,28,Chelsea,86,86,1.778,Spain
71,L. Bonucci,31,Juventus,86,86,1.905,Italy
72,T. Alderweireld,29,Tottenham Hotspur,86,87,1.8542,Belgium
73,M. Pjanić,28,Juventus,86,86,1.778,Bosnia Herzegovina
74,M. Benatia,31,Juventus,86,86,1.8796,Morocco
75,M. Özil,29,Arsenal,86,86,1.8034,Germany
76,Fernandinho,33,Manchester City,86,86,1.778,Brazil
77,Iniesta,34,Vissel Kobe,86,86,1.7018,Spain
78,M. Škriniar,23,Inter,85,92,1.8796,Slovakia
