"","Fussballer.Name","Fussballer.Age","Fussballer.Club","Fussballer.Overall","Fussballer.Potential","Height"
"1","L. Messi",31,"FC Barcelona",94,94,170.18
"2","Cristiano Ronaldo",33,"Juventus",94,94,187.96
"3","Neymar Jr",26,"Paris Saint-Germain",92,93,175.26
"4","De Gea",27,"Manchester United",91,93,193.04
"5","K. De Bruyne",27,"Manchester City",91,92,180.34
"6","E. Hazard",27,"Chelsea",91,91,172.72
"7","L. Modrić",32,"Real Madrid",91,91,172.72
"8","L. Suárez",31,"FC Barcelona",91,91,182.88
"9","Sergio Ramos",32,"Real Madrid",91,91,182.88
"10","J. Oblak",25,"Atlético Madrid",90,93,187.96
"11","R. Lewandowski",29,"FC Bayern München",90,90,182.88
"12","T. Kroos",28,"Real Madrid",90,90,182.88
"13","D. Godín",32,"Atlético Madrid",90,90,187.96
"14","David Silva",32,"Manchester City",90,90,172.72
"15","N. Kanté",27,"Chelsea",89,90,167.64
"16","P. Dybala",24,"Juventus",89,94,177.8
"17","H. Kane",24,"Tottenham Hotspur",89,91,187.96
"18","A. Griezmann",27,"Atlético Madrid",89,90,175.26
"19","M. ter Stegen",26,"FC Barcelona",89,92,187.96
"20","T. Courtois",26,"Real Madrid",89,90,198.12
"21","Sergio Busquets",29,"FC Barcelona",89,89,187.96
"22","E. Cavani",31,"Paris Saint-Germain",89,89,185.42
"23","M. Neuer",32,"FC Bayern München",89,89,193.04
"24","S. Agüero",30,"Manchester City",89,89,172.72
"25","G. Chiellini",33,"Juventus",89,89,187.96
"26","K. Mbappé",19,"Paris Saint-Germain",88,95,177.8
"27","M. Salah",26,"Liverpool",88,89,175.26
"28","Casemiro",26,"Real Madrid",88,90,185.42
"29","J. Rodríguez",26,"FC Bayern München",88,89,180.34
"30","L. Insigne",27,"Napoli",88,88,162.56
"31","Isco",26,"Real Madrid",88,91,175.26
"32","C. Eriksen",26,"Tottenham Hotspur",88,91,180.34
"33","Coutinho",26,"FC Barcelona",88,89,172.72
"34","P. Aubameyang",29,"Arsenal",88,88,187.96
"35","M. Hummels",29,"FC Bayern München",88,88,190.5
"36","Marcelo",30,"Real Madrid",88,88,175.26
"37","G. Bale",28,"Real Madrid",88,88,185.42
"38","H. Lloris",31,"Tottenham Hotspur",88,88,187.96
"39","G. Higuaín",30,"Milan",88,88,185.42
"40","Thiago Silva",33,"Paris Saint-Germain",88,88,182.88
"41","S. Handanovič",33,"Inter",88,88,193.04
"42","G. Buffon",40,"Paris Saint-Germain",88,88,193.04
"43","S. Umtiti",24,"FC Barcelona",87,92,182.88
"44","M. Icardi",25,"Inter",87,90,180.34
"45","K. Koulibaly",27,"Napoli",87,90,187.96
"46","P. Pogba",25,"Manchester United",87,91,193.04
"47","K. Navas",31,"Real Madrid",87,87,185.42
