,Name,Age,Club,OVA,POT,Height,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY
2,Luis García,37,KAS Eupen,71,71,178,Spain,CM,53,69,73,69,58,63
5,Iniesta,36,Vissel Kobe,81,81,170,Spain,CAM,58,70,85,85,63,59
7,E. Belözoğlu,38,Fenerbahçe SK,77,77,170,Turkey,CM,44,71,83,77,62,66
13,R. Keane,35,LA Galaxy,80,80,175,Republic of Ireland,CF,68,82,75,82,31,69
27,G. Buffon,42,Juventus,82,82,193,Italy,GK,77,76,74,78,33,91
33,F. Totti,39,Roma,80,80,180,Italy,CAM,38,84,87,81,21,67
42,M. Stekelenburg,37,Ajax,72,72,198,Netherlands,GK,69,71,72,70,33,73
44,R. Weidenfeller,36,Borussia Dortmund,75,75,190,Germany,GK,70,76,50,77,22,81
46,Eliseu,33,SL Benfica,76,76,175,Portugal,LB,76,72,69,73,74,78
47,S. Given,40,Stoke City,73,73,185,Republic of Ireland,GK,69,72,72,70,42,76
48,K. Ellison,41,Newport County,58,58,180,England,ST,43,63,56,63,43,72
51,Tarantini,36,Rio Ave FC,72,72,188,Portugal,CM,50,67,71,70,70,67
52,S. Wright-Phillips,34,New York Red Bulls,68,68,165,England,CAM,76,67,65,69,32,42
53,Yuri,37,SD Ponferradina,71,71,185,Brazil,ST,66,74,59,69,35,69
54,J. O'Shea,37,Reading,66,66,190,Republic of Ireland,CB,29,33,55,51,68,60
55,Ricardo Carvalho,38,Portugal,79,79,183,Portugal,CB,40,47,60,56,80,66
69,F. Lampard,38,New York City FC,78,78,183,England,CM,43,80,80,73,58,68
70,Casillas,38,FC Porto,79,79,185,Spain,GK,82,73,60,77,55,83
78,A. Gilardino,34,Spezia,72,72,183,Italy,ST,58,71,59,67,29,64
82,G. Barry,38,West Bromwich Albion,70,70,183,England,CDM,31,63,72,66,72,63
88,A. Cassano,33,Sampdoria,76,76,175,Italy,CAM,38,72,84,81,16,46
89,L. Donovan,35,Club León,73,73,173,United States,CAM,65,74,77,72,43,56
90,A. Pirlo,38,New York City FC,77,77,178,Italy,CM,33,64,87,73,42,50
91,R. van Persie,34,Feyenoord,78,78,188,Netherlands,CAM,54,80,76,80,34,57
94,T. Rosický,36,Sparta Praha,79,79,178,Czech Republic,CAM,73,70,79,82,43,63
95,S. Parker,35,Fulham,72,72,175,England,CDM,55,64,70,70,73,68
100,A. Robben,36,FC Groningen,80,80,180,Netherlands,CAM,74,82,78,86,30,57
102,S. Eto'o,36,Atiker Konyaspor,81,81,178,Cameroon,ST,74,82,74,78,37,70
107,C. Porter,36,Crewe Alexandra,63,63,185,England,ST,48,64,52,58,38,71
111,M. Gilks,38,Bolton Wanderers,64,64,185,Scotland,GK,63,64,63,62,35,64
120,W. Brown,36,Blackburn Rovers,66,66,185,England,CB,36,31,52,49,64,63
121,J. Terry,36,Aston Villa,76,76,188,England,CB,34,47,57,50,77,73
122,A. Smith,36,Notts County,61,61,180,England,CB,36,56,61,59,60,60
123,S. Gerrard,36,LA Galaxy,81,81,183,England,CM,54,81,83,75,67,75
125,P. Robinson,36,Burnley,69,69,193,England,GK,66,67,74,65,38,71
128,D. Kuyt,35,Feyenoord,75,75,183,Netherlands,ST,66,76,73,70,65,77
129,T. Howard,40,Colorado Rapids,71,71,190,United States,GK,72,72,72,68,44,71
132,N. Penneteau,39,Sporting de Charleroi,73,73,185,France,GK,70,76,66,66,27,81
133,J. Collins,34,Ipswich Town,72,72,188,Wales,CB,31,47,52,42,72,70
134,J. Ibehre,36,Cambridge United,58,58,193,England,ST,60,54,49,55,39,75
138,Ricardo Costa,39,Boavista FC,73,73,183,Portugal,CB,44,37,47,52,74,72
