,Name,Age,Club,OVA,POT,Height,Weight,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY,Wage,Value
753,L. Messi,33,FC Barcelona,93,93,170,159,Argentina,RW,85,92,91,95,38,65,560,67500
143,Cristiano Ronaldo,35,Juventus,92,92,188,183,Portugal,ST,89,93,81,89,35,77,220,46000
2288,R. Lewandowski,31,FC Bayern München,91,91,183,176,Poland,ST,78,91,78,85,43,82,240,80000
2651,Neymar Jr,28,Paris Saint-Germain,91,91,175,150,Brazil,LW,91,85,86,94,36,59,270,90000
2872,K. De Bruyne,29,Manchester City,91,91,180,154,Belgium,CAM,76,86,93,88,64,78,370,87000
3666,J. Oblak,27,Atlético Madrid,91,93,188,192,Slovenia,GK,87,92,78,90,52,90,125,75000
2791,M. ter Stegen,28,FC Barcelona,90,93,188,187,Germany,GK,88,85,88,90,45,88,260,69500
4167,V. van Dijk,28,Liverpool,90,91,193,203,Netherlands,CB,76,60,71,71,91,86,210,75500
5031,S. Mané,28,Liverpool,90,90,175,152,Senegal,LW,94,85,80,90,44,76,250,78000
5110,M. Salah,28,Liverpool,90,90,175,157,Egypt,RW,93,86,81,90,45,75,250,78000
5778,Alisson,27,Liverpool,90,91,190,201,Brazil,GK,86,88,85,89,51,91,160,62500
9332,K. Mbappé,21,Paris Saint-Germain,90,95,178,161,France,ST,96,86,78,91,39,76,160,105500
663,S. Agüero,32,Manchester City,89,89,173,154,Argentina,ST,78,90,77,88,33,73,300,53000
682,Sergio Ramos,34,Real Madrid,89,89,183,181,Spain,CB,71,70,76,73,88,85,300,24500
947,K. Benzema,32,Real Madrid,89,89,185,179,France,CF,74,85,81,86,40,76,350,53000
1011,M. Neuer,34,FC Bayern München,89,89,193,203,Germany,GK,87,87,91,89,57,86,125,29000
2746,T. Courtois,28,Real Madrid,89,90,198,212,Belgium,GK,84,89,74,88,48,85,250,56000
3631,Casemiro,28,Real Madrid,89,89,185,185,Brazil,CDM,65,73,76,72,86,91,310,59500
367,P. Lahm,32,FC Bayern München,88,88,170,146,Germany,RWB,67,56,82,84,86,64,200,29500
851,S. Handanovic,35,Inter,88,88,193,203,Slovenia,GK,88,85,73,89,53,89,100,16000
1754,T. Kroos,30,Real Madrid,88,88,183,168,Germany,CM,54,81,91,81,71,69,310,55000
1801,E. Hazard,29,Real Madrid,88,88,175,163,Belgium,LW,88,82,83,92,35,66,350,58000
3772,K. Koulibaly,29,Napoli,88,88,188,196,Senegal,CB,75,28,55,68,89,86,140,50000
3962,H. Kane,26,Tottenham Hotspur,88,89,188,196,England,ST,68,91,80,80,47,83,220,71000
4050,R. Sterling,25,Manchester City,88,90,170,152,England,LW,93,81,79,90,45,67,270,72500
5257,Ederson,26,Manchester City,88,91,188,190,Brazil,GK,86,82,93,88,63,86,195,53500
5426,P. Dybala,26,Juventus,88,89,178,165,Argentina,CAM,85,85,84,92,43,63,190,71000
5737,J. Kimmich,25,FC Bayern München,88,90,175,161,Germany,CDM,71,72,86,84,81,79,145,65000
