,Name,Age,Nationality,Overall,Potential,Height,Weakfoot
1,L. Messi,31,Argentina,94,94,170,4
2,Cristiano Ronaldo,33,Portugal,94,94,188,4
3,Neymar Jr,26,Brazil,92,93,175,5
4,De Gea,27,Spain,91,93,193,3
5,K. De Bruyne,27,Belgium,91,92,180,5
6,E. Hazard,27,Belgium,91,91,173,4
7,L. Modrić,32,Croatia,91,91,173,4
8,L. Suárez,31,Uruguay,91,91,183,4
9,Sergio Ramos,32,Spain,91,91,183,3
10,J. Oblak,25,Slovenia,90,93,188,3
11,R. Lewandowski,29,Poland,90,90,183,4
12,T. Kroos,28,Germany,90,90,183,5
13,D. Godín,32,Uruguay,90,90,188,3
14,David Silva,32,Spain,90,90,173,2
15,N. Kanté,27,France,89,90,168,3
16,P. Dybala,24,Argentina,89,94,178,3
17,H. Kane,24,England,89,91,188,4
18,A. Griezmann,27,France,89,90,175,3
19,M. ter Stegen,26,Germany,89,92,188,4
20,T. Courtois,26,Belgium,89,90,198,2
21,Sergio Busquets,29,Spain,89,89,188,3
22,E. Cavani,31,Uruguay,89,89,185,4
23,M. Neuer,32,Germany,89,89,193,4
24,S. Agüero,30,Argentina,89,89,173,4
25,G. Chiellini,33,Italy,89,89,188,3
26,K. Mbappé,19,France,88,95,178,4
27,M. Salah,26,Egypt,88,89,175,3
28,Casemiro,26,Brazil,88,90,185,3
29,J. Rodríguez,26,Colombia,88,89,180,3
30,L. Insigne,27,Italy,88,88,163,3
31,Isco,26,Spain,88,91,175,3
32,C. Eriksen,26,Denmark,88,91,180,5
33,Coutinho,26,Brazil,88,89,173,4
34,P. Aubameyang,29,Gabon,88,88,188,4
35,M. Hummels,29,Germany,88,88,190,3
36,Marcelo,30,Brazil,88,88,175,4
37,G. Bale,28,Wales,88,88,185,3
38,H. Lloris,31,France,88,88,188,1
39,G. Higuaín,30,Argentina,88,88,185,4
40,Thiago Silva,33,Brazil,88,88,183,3
41,S. Handanovič,33,Slovenia,88,88,193,2
42,G. Buffon,40,Italy,88,88,193,2
43,S. Umtiti,24,France,87,92,183,3
44,M. Icardi,25,Argentina,87,90,180,4
45,K. Koulibaly,27,Senegal,87,90,188,3
46,P. Pogba,25,France,87,91,193,4
47,K. Navas,31,Costa Rica,87,87,185,3
48,R. Lukaku,25,Belgium,87,89,190,3
49,C. Immobile,28,Italy,87,87,185,4
50,Jordi Alba,29,Spain,87,87,170,3
51,D. Mertens,31,Belgium,87,87,170,4
52,J. Vertonghen,31,Belgium,87,87,188,3
53,M. Hamšík,30,Slovakia,87,87,183,5
54,I. Rakitić,30,Croatia,87,87,183,3
55,Piqué,31,Spain,87,87,193,3
56,L. Sané,22,Germany,86,92,183,3
57,Bernardo Silva,23,Portugal,86,91,173,3
58,Ederson,24,Brazil,86,90,188,3
59,S. Mané,26,Senegal,86,87,175,4
60,V. van Dijk,26,Netherlands,86,88,193,3
61,R. Sterling,23,England,86,89,170,3
62,Roberto Firmino,26,Brazil,86,87,180,4
63,R. Varane,25,France,86,91,190,3
64,M. Verratti,25,Italy,86,89,165,4
65,Alex Sandro,27,Brazil,86,86,180,3
66,Douglas Costa,27,Brazil,86,86,173,3
67,T. Müller,28,Germany,86,86,185,4
68,Thiago,27,Spain,86,86,175,3
69,M. Reus,29,Germany,86,86,180,4
70,Azpilicueta,28,Spain,86,86,178,3
71,L. Bonucci,31,Italy,86,86,190,3
72,T. Alderweireld,29,Belgium,86,87,185,3
73,M. Pjanić,28,Bosnia Herzegovina,86,86,178,4
