,Name,Age,Nationality,Overall,Potential,Height,Weak.Foot
1,L. Messi,31,Argentina,94,94,152.4,4
2,Cristiano Ronaldo,33,Portugal,94,94,182.88,4
3,Neymar Jr,26,Brazil,92,93,152.4,5
4,De Gea,27,Spain,91,93,182.88,3
5,K. De Bruyne,27,Belgium,91,92,152.4,5
6,E. Hazard,27,Belgium,91,91,152.4,4
7,L. Modrić,32,Croatia,91,91,152.4,4
8,L. Suárez,31,Uruguay,91,91,182.88,4
9,Sergio Ramos,32,Spain,91,91,182.88,3
10,J. Oblak,25,Slovenia,90,93,182.88,3
11,R. Lewandowski,29,Poland,90,90,182.88,4
12,T. Kroos,28,Germany,90,90,182.88,5
13,D. Godín,32,Uruguay,90,90,182.88,3
14,David Silva,32,Spain,90,90,152.4,2
15,N. Kanté,27,France,89,90,152.4,3
16,P. Dybala,24,Argentina,89,94,152.4,3
17,H. Kane,24,England,89,91,182.88,4
18,A. Griezmann,27,France,89,90,152.4,3
19,M. ter Stegen,26,Germany,89,92,182.88,4
20,T. Courtois,26,Belgium,89,90,182.88,2
21,Sergio Busquets,29,Spain,89,89,182.88,3
22,E. Cavani,31,Uruguay,89,89,182.88,4
23,M. Neuer,32,Germany,89,89,182.88,4
24,S. Agüero,30,Argentina,89,89,152.4,4
25,G. Chiellini,33,Italy,89,89,182.88,3
26,K. Mbappé,19,France,88,95,152.4,4
27,M. Salah,26,Egypt,88,89,152.4,3
28,Casemiro,26,Brazil,88,90,182.88,3
29,J. Rodríguez,26,Colombia,88,89,152.4,3
30,L. Insigne,27,Italy,88,88,152.4,3
31,Isco,26,Spain,88,91,152.4,3
32,C. Eriksen,26,Denmark,88,91,152.4,5
33,Coutinho,26,Brazil,88,89,152.4,4
34,P. Aubameyang,29,Gabon,88,88,182.88,4
35,M. Hummels,29,Germany,88,88,182.88,3
36,Marcelo,30,Brazil,88,88,152.4,4
37,G. Bale,28,Wales,88,88,182.88,3
38,H. Lloris,31,France,88,88,182.88,1
39,G. Higuaín,30,Argentina,88,88,182.88,4
40,Thiago Silva,33,Brazil,88,88,182.88,3
41,S. Handanovič,33,Slovenia,88,88,182.88,2
42,G. Buffon,40,Italy,88,88,182.88,2
43,S. Umtiti,24,France,87,92,182.88,3
44,M. Icardi,25,Argentina,87,90,152.4,4
45,K. Koulibaly,27,Senegal,87,90,182.88,3
46,P. Pogba,25,France,87,91,182.88,4
47,K. Navas,31,Costa Rica,87,87,182.88,3
48,R. Lukaku,25,Belgium,87,89,182.88,3
49,C. Immobile,28,Italy,87,87,182.88,4
50,Jordi Alba,29,Spain,87,87,152.4,3
51,D. Mertens,31,Belgium,87,87,152.4,4
52,J. Vertonghen,31,Belgium,87,87,182.88,3
53,M. Hamšík,30,Slovakia,87,87,182.88,5
54,I. Rakitić,30,Croatia,87,87,182.88,3
55,Piqué,31,Spain,87,87,182.88,3
56,L. Sané,22,Germany,86,92,182.88,3
57,Bernardo Silva,23,Portugal,86,91,152.4,3
58,Ederson,24,Brazil,86,90,182.88,3
59,S. Mané,26,Senegal,86,87,152.4,4
60,V. van Dijk,26,Netherlands,86,88,182.88,3
61,R. Sterling,23,England,86,89,152.4,3
62,Roberto Firmino,26,Brazil,86,87,152.4,4
63,R. Varane,25,France,86,91,182.88,3
64,M. Verratti,25,Italy,86,89,152.4,4
65,Alex Sandro,27,Brazil,86,86,152.4,3
66,Douglas Costa,27,Brazil,86,86,152.4,3
67,T. Müller,28,Germany,86,86,182.88,4
68,Thiago,27,Spain,86,86,152.4,3
69,M. Reus,29,Germany,86,86,152.4,4
70,Azpilicueta,28,Spain,86,86,152.4,3
71,L. Bonucci,31,Italy,86,86,182.88,3
72,T. Alderweireld,29,Belgium,86,87,182.88,3
73,M. Pjanić,28,Bosnia Herzegovina,86,86,152.4,4
74,M. Benatia,31,Morocco,86,86,182.88,3
75,M. Özil,29,Germany,86,86,152.4,2
76,Fernandinho,33,Brazil,86,86,152.4,4
77,Iniesta,34,Spain,86,86,152.4,4
78,M. Škriniar,23,Slovakia,85,92,182.88,4
79,S. Milinković-Savić,23,Serbia,85,90,182.88,4
80,Marco Asensio,22,Spain,85,92,182.88,3
81,N. Fekir,24,France,85,89,152.4,3
82,Alisson,25,Brazil,85,90,182.88,3
83,J. Kimmich,23,Germany,85,88,152.4,4
84,Saúl,23,Spain,85,90,182.88,4
85,R. Mahrez,27,Algeria,85,85,152.4,4
86,D. Alaba,26,Austria,85,87,152.4,4
87,Koke,26,Spain,85,86,152.4,4
88,A. Lacazette,27,France,85,86,152.4,4
89,K. Manolas,27,Greece,85,87,182.88,2
90,N. Otamendi,30,Argentina,85,85,182.88,3
91,Parejo,29,Spain,85,85,182.88,4
92,Paulinho,29,Brazil,85,85,182.88,3
93,W. Szczęsny,28,Poland,85,87,182.88,3
94,A. Sánchez,29,Chile,85,85,152.4,3
95,Y. Brahimi,28,Algeria,85,85,152.4,3
96,J. Boateng,29,Germany,85,85,182.88,4
97,A. Vidal,31,Chile,85,85,152.4,4
98,I. Perišić,29,Croatia,85,85,182.88,5
99,E. Džeko,32,Bosnia Herzegovina,85,85,182.88,5
100,S. Khedira,31,Germany,85,85,182.88,4
101,Diego Costa,29,Spain,85,85,182.88,4
102,R. Nainggolan,30,Belgium,85,85,152.4,3
103,Naldo,35,Brazil,85,85,182.88,4
104,B. Matuidi,31,France,85,85,152.4,2
105,Miranda,33,Brazil,85,85,182.88,3
106,K. Benzema,30,France,85,85,182.88,4
107,Filipe Luís,32,Brazil,85,85,182.88,3
108,V. Kompany,32,Belgium,85,85,182.88,3
109,Pepe,35,Portugal,85,85,182.88,3
110,Z. Ibrahimović,36,Sweden,85,85,182.88,4
111,D. Sánchez,22,Colombia,84,88,182.88,3
112,J. Giménez,23,Uruguay,84,88,182.88,3
113,Alex Telles,25,Brazil,84,87,152.4,2
114,A. Laporte,24,France,84,88,182.88,3
115,Bruno Fernandes,23,Portugal,84,88,152.4,3
116,N. Süle,22,Germany,84,90,182.88,3
117,A. Martial,22,France,84,90,182.88,3
118,D. Alli,22,England,84,90,182.88,3
119,Fabinho,24,Brazil,84,88,182.88,2
120,Marquinhos,24,Brazil,84,89,182.88,3
121,William Carvalho,26,Portugal,84,86,182.88,4
122,Jorginho,26,Italy,84,87,152.4,3
123,F. Thauvin,25,France,84,87,152.4,3
124,Carvajal,26,Spain,84,87,152.4,3
125,M. Depay,24,Netherlands,84,89,152.4,3
126,H. Son,25,Korea Republic,84,85,182.88,5
127,A. Lopes,27,Portugal,84,86,182.88,2
